,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.bipartite.segment,PowerLawBipartiteGraphSegment.EdgeIteratorFactory,n/a,n/a,Could not find file,3,4,0.5714285714285714,3,4,0.5714285714285714,7,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,RightNodeMetadataLeftIndexedPowerLawSegmentProvider,,,,0,9,1.0,0,9,1.0,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,IdentityEdgeTypeMask,,,,0,5,1.0,0,5,1.0,0,5,1.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,NodeMetadataLeftIndexedPowerLawSegmentProvider,,,,0,9,1.0,0,9,1.0,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,LeftIndexedPowerLawBipartiteGraphSegment,,,,0,10,1.0,0,10,1.0,10,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,LeftIndexedBipartiteGraphSegment,,,,31,32,0.5079365079365079,31,32,0.5079365079365079,63,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,RightNodeMetadataLeftIndexedPowerLawBipartiteGraphSegment,,,,3,11,0.7857142857142857,3,11,0.7857142857142857,14,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,RightNodeMetadataLeftIndexedBipartiteGraphSegment,,,,17,6,0.2608695652173913,17,6,0.2608695652173913,23,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,NodeMetadataInternalIdToLongIterator,,,,20,7,0.25925925925925924,20,7,0.25925925925925924,27,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,BipartiteGraphSegment,,,,38,10,0.20833333333333334,38,10,0.20833333333333334,48,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,LeftIndexedReaderAccessibleInfo,,,,0,12,1.0,0,12,1.0,12,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,RecycleSegmentMemory,,,,8,0,0.0,8,0,0.0,8,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,PowerLawSegmentProvider,,,,2,8,0.8,2,8,0.8,10,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,NodeMetadataLeftIndexedPowerLawBipartiteGraphSegment,,,,3,11,0.7857142857142857,3,11,0.7857142857142857,14,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,LeftRegularBipartiteGraphSegment,,,,0,8,1.0,0,8,1.0,8,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,BipartiteGraphSegmentProvider,,,,0,6,1.0,0,6,1.0,6,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.segment,InternalIdToLongIterator,,,,7,10,0.5882352941176471,7,10,0.5882352941176471,17,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,JaccardUpdateNormalization,,,,0,3,1.0,0,3,1.0,0,3,1.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,IntersectionSimilarity,,,,75,16,0.17582417582417584,75,16,0.17582417582417584,91,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,OverlapUpdateNormalization,,,,0,3,1.0,0,3,1.0,0,3,1.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,IntersectionSimilarityRequest,,,,0,20,1.0,0,20,1.0,0,20,1.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,RelatedTweetUpdateNormalization,,,,0,1,1.0,0,1,1.0,0,1,1.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,InverseDegreeUpdateNormalization,,,,0,3,1.0,0,3,1.0,0,3,1.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,ScaledUpdateNormalization,,,,0,5,1.0,0,5,1.0,0,5,1.0
GraphJet Core,com.twitter.graphjet.algorithms.intersection,CosineUpdateNormalization,,,,0,3,1.0,0,3,1.0,0,3,1.0
GraphJet Core,com.twitter.graphjet.directed,OutIndexedPowerLawMultiSegmentDirectedGraph,,,,4,6,0.6,4,6,0.6,10,0,0.0
